location,country,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,latitude,longitude,vegetables,fruits
medellin,unknown,2017-02-28,1488258000,27.8,14,18.7,28.1,14,18.7,14.9,80.27,0.6,,4.17,,,,35.3,23.5,62.1,,67.9,9.5,,,0,06:14:46,1488280486,18:14:45,1488323685,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-03-01,1488344400,29.8,12.1,18.5,29,12.1,18.4,13.6,76.89,0,,0,,,0,59.4,43.3,85.5,,57.6,8.6,,,0,06:14:24,1488366864,18:14:43,1488410083,0.05,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-03-02,1488430800,25.8,13,18.7,25.8,13,18.7,14.1,77.31,24,,4.17,,,,,21.8,79.5,,62.6,9.6,,,0,06:14:02,1488453242,18:14:41,1488496481,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-03-03,1488517200,26.8,14,19.4,27,14,19.4,14.2,74.76,8,,8.33,,,0,,14.8,49.6,,73.3,10,,,0,06:13:39,1488539619,18:14:39,1488582879,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-03-04,1488603600,30.7,15,21.3,29.3,15,21.1,13.7,67.48,0.5,,4.17,,,,,29,92.2,,53.1,9.8,,,0,06:13:16,1488625996,18:14:35,1488669275,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-03-05,1488690000,25.8,15,19.6,25.8,15,19.6,15.4,78.33,0,,0,,,,,21.7,68.3,,73.2,9,,,0,06:12:52,1488712372,18:14:32,1488755672,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-03-06,1488776400,28.8,14.9,20.5,28.4,14.9,20.5,14.9,73.72,9,,8.33,,,1,,21.7,114,,65.3,9.9,,,0,06:12:28,1488798748,18:14:28,1488842068,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-03-07,1488862800,26.8,14,19.1,27.5,14,19.1,15.8,82.95,0,,0,,,1,,18.1,150.6,,72.6,9.1,,,0,06:12:03,1488885123,18:14:24,1488928464,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-03-08,1488949200,20.9,14,17.7,20.9,14,17.7,15.8,89.2,13.5,,29.17,,,1,,7.7,114.5,,74.2,8.8,,,0,06:11:38,1488971498,18:14:19,1489014859,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-03-09,1489035600,28.7,13,19.3,28.8,13,19.3,14.6,77.41,7,,8.33,,,1,,14.5,86.9,,64.4,9,,,0,06:11:13,1489057873,18:14:14,1489101254,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-03-10,1489122000,22.8,14,17.5,22.8,14,17.5,15.3,87.54,15.7,,12.5,,,0,,17.9,195.1,,74.5,9.4,,,0,06:10:47,1489144247,18:14:09,1489187649,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-03-11,1489208400,25.8,14,18.5,25.8,14,18.5,15.2,83.09,2.3,,8.33,,,2,,18.1,122.6,,69.7,8.6,,,0,06:10:21,1489230621,18:14:03,1489274043,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-03-12,1489294800,23.8,13,18,23.8,13,18,14.9,83.52,11,,16.67,,,2,,11.2,193,,73,9.7,,,0,06:09:55,1489316995,18:13:57,1489360437,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-03-13,1489381200,24.6,14,18,24.6,14,17.9,15.2,85.14,23,,8.33,,,0,,18.2,118.3,,66,9.2,,,0,06:09:28,1489403368,18:13:51,1489446831,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
medellin,unknown,2017-03-14,1489467600,26.8,14,18.8,27.2,14,18.8,15.4,83.09,5.6,,12.5,,,2,,18.2,136.8,,72.1,8.6,,,0,06:09:01,1489489741,18:13:45,1489533225,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"c(""""80110099999"""", """"SKMD"""", """"SKRG"""", """"80112099999"""")",obs,6.2459,-75.5746,0,1
