"","Date","Kerosene_Price"
"155",2018-12-14,0.407144915746874
"156",2018-12-21,0.386143439535876
"157",2018-12-28,0.372197371758211
"158",2019-01-04,0.375691969106486
"159",2019-01-11,0.412380909895851
"160",2019-01-18,0.420093714976108
"161",2019-01-25,0.423504827222799
"162",2019-02-01,0.424945550408188
"163",2019-02-08,0.432638489477372
"164",2019-02-15,0.443585779728596
"165",2019-02-22,0.461031026844099
"166",2019-03-01,0.449087592113066
"167",2019-03-08,0.446605674097787
"168",2019-03-15,0.442311985487505
"169",2019-03-22,0.442413651614938
"170",2019-03-29,0.446933422734974
"171",2019-04-05,0.45549360930253
"172",2019-04-12,0.463496902217448
"173",2019-04-19,0.463955506733696
"174",2019-04-26,0.475282917547939
"175",2019-05-03,0.468129330909477
"176",2019-05-10,0.467031713970684
"177",2019-05-17,0.477342801385903
"178",2019-05-24,0.467749718763519
"179",2019-05-31,0.44866391425951
"180",2019-06-07,0.415428460084447
"181",2019-06-14,0.416170305730453
"182",2019-06-21,0.426152135116857
"183",2019-06-28,0.440759397262577
"184",2019-07-05,0.44132601897155
"185",2019-07-12,0.45781011941263
"186",2019-07-19,0.448096668652066
"187",2019-07-26,0.451633137054513
"188",2019-08-02,0.452317092319314
"189",2019-08-09,0.418624219946826
"190",2019-08-16,0.423706787188579
"191",2019-08-23,0.431440563712771
"192",2019-08-30,0.431658570296155
"193",2019-09-06,0.435306321607003
"194",2019-09-13,0.439144976856596
"195",2019-09-20,0.464783266511989
"196",2019-09-27,0.461059994132662
"197",2019-10-04,0.443696921457131
"198",2019-10-11,0.446115241193967
"199",2019-10-18,0.44320834186715
"200",2019-10-25,0.450625683601212
"201",2019-11-01,0.438372395113119
"202",2019-11-08,0.437892670895205
"203",2019-11-15,0.43499038429885
"204",2019-11-22,0.42712445718453
"205",2019-11-29,0.444694710766778
"206",2019-12-06,0.434049926967787
"207",2019-12-13,0.437761263418937
"208",2019-12-20,0.455928297172392
"209",2019-12-27,0.465949070246498
"210",2020-01-03,0.461146080660257
"211",2020-01-10,0.452435923970654
"212",2020-01-17,0.426520819896931
"213",2020-01-24,0.410527503136238
"214",2020-01-31,0.38025363162851
"215",2020-02-07,0.360998863301662
"216",2020-02-14,0.375761728515251
"217",2020-02-21,0.385390592707588
"218",2020-02-28,0.343320665774028
"219",2020-03-06,0.325457278813963
"220",2020-03-13,0.242785300217038
"221",2020-03-20,0.190062470958344
"222",2020-03-27,0.172176115268466
"223",2020-04-03,0.174402381827135
"224",2020-04-10,0.176674887859216
"225",2020-04-17,0.161133945367674
"226",2020-04-24,0.122410309391809
"227",2020-05-01,0.111976988742416
"228",2020-05-08,0.130829055526085
"229",2020-05-15,0.158268581633724
"230",2020-05-22,0.195667009545572
"231",2020-05-29,0.193960413438207
"232",2020-06-05,0.211185856430934
"233",2020-06-12,0.222913364051901
"234",2020-06-19,0.244921619615646
"235",2020-06-26,0.240306154649635
"236",2020-07-03,0.23990069855812
"237",2020-07-10,0.250368097944303
"238",2020-07-17,0.248107558935831
"239",2020-07-24,0.250871022466115
"240",2020-07-31,0.24796885001039
"241",2020-08-07,0.248472137224201
"242",2020-08-14,0.247761859801581
"243",2020-08-21,0.245822487373975
"244",2020-08-28,0.250674003983892
"245",2020-09-04,0.239933122998292
"246",2020-09-11,0.219385441587554
"247",2020-09-18,0.226237650190955
"248",2020-09-25,0.220283091444409
"249",2020-10-02,0.22369182507591
"250",2020-10-09,0.239214909962891
"251",2020-10-16,0.241774345314368
"252",2020-10-23,0.236585423681538
"253",2020-10-30,0.228564063899154
"254",2020-11-06,0.234523890035755
"255",2020-11-13,0.252618779914636
"256",2020-11-20,0.252911386430477
"257",2020-11-27,0.272983820035116
"258",2020-12-04,0.274552890924367
"259",2020-12-11,0.282234301030414
"260",2020-12-18,0.293760014032998
"261",2020-12-25,0.29188383117835
"262",2021-01-01,0.289627371874967
"263",2021-01-08,0.297966284524529
"264",2021-01-15,0.315944306734479
"265",2021-01-22,0.313132307627838
"266",2021-01-29,0.31248197836612
"267",2021-02-05,0.327666943441582
"268",2021-02-12,0.342196461993033
"269",2021-02-19,0.354845823716889
"270",2021-02-26,0.374891011382804
"271",2021-03-05,0.373688374557759
"272",2021-03-12,0.383638744707187
"273",2021-03-19,0.372478004857329
"274",2021-03-26,0.35932773384253
"275",2021-04-02,0.356052016041272
"276",2021-04-09,0.363102711977327
"277",2021-04-16,0.367314660878634
"278",2021-04-23,0.365412389313476
"279",2021-04-30,0.373803718001406
"280",2021-05-07,0.381019658685879
"281",2021-05-14,0.38344285887799
"282",2021-05-21,0.37447922796978
"283",2021-05-28,0.381903296322489
"284",2021-06-04,0.394542861541152
"285",2021-06-11,0.400810846754208
"286",2021-06-18,0.409096580747851
"287",2021-06-25,0.42411538911857
"288",2021-07-02,0.422837924138362
"289",2021-07-09,0.417854089630887
"290",2021-07-16,0.426605094569447
"291",2021-07-23,0.412069939174527
"292",2021-07-30,0.426694149877573
"293",2021-08-06,0.411904801950598
"294",2021-08-13,0.409149046970252
"295",2021-08-20,0.390860559804041
"296",2021-08-27,0.411965280289554
"297",2021-09-03,0.42950657667382
"298",2021-09-10,0.427441342040899
"299",2021-09-17,0.449344387544992
